Branche,HubSpot_Code,ICP_Score,Kategorie,Referenzen,Begründung
Leisure,LEISURE_TRAVEL_TOURISM,2,Schwacher Fit,,Freizeit/Tourismus - B2C
Recreational Facilities and Services,RECREATIONAL_FACILITIES_AND_SERVICES,2,Schwacher Fit,,Freizeiteinrichtungen - B2C
Events Services,EVENTS_SERVICES,2,Schwacher Fit,,Veranstaltungen - B2C
Gambling & Casinos,GAMBLING_CASINOS,1,Kein Fit,,Glücksspiel
Sports,SPORTS,2,Schwacher Fit,,Sport - B2C
Computer Software,COMPUTER_SOFTWARE,5,Moderater Fit,,Software - kein Hardware-Fit
Internet,INTERNET,4,Moderater Fit,,Internet-Unternehmen
Computer Games,COMPUTER_GAMES,2,Schwacher Fit,,Spieleentwicklung - B2C
Information Services,INFORMATION_SERVICES,4,Moderater Fit,,Informationsdienste
Wireless,WIRELESS,6,Guter Fit,,Mobilfunk - Telko-Bezug
Computer Networking,COMPUTER_NETWORKING,6,Guter Fit,,Netzwerktechnik
Computer & Network Security,COMPUTER_NETWORK_SECURITY,5,Moderater Fit,,IT-Security Hardware
Broadcast Media,BROADCAST_MEDIA,3,Schwacher Fit,,Rundfunk
Online Media,ONLINE_MEDIA,2,Schwacher Fit,,Online-Medien
Newspapers,NEWSPAPERS,2,Schwacher Fit,,Zeitungen
Publishing,PUBLISHING,3,Schwacher Fit,,Verlagswesen
Printing,PRINTING,5,Moderater Fit,,Druckerei - Maschinen relevant
Media Production,MEDIA_PRODUCTION,3,Schwacher Fit,,Medienproduktion
Motion Pictures and Film,MOTION_PICTURES_AND_FILM,2,Schwacher Fit,,Film
Music,MUSIC,2,Schwacher Fit,,Musik
Animation,ANIMATION,2,Schwacher Fit,,Animation
Entertainment,ENTERTAINMENT,2,Schwacher Fit,,Unterhaltung - B2C
Performing Arts,PERFORMING_ARTS,1,Kein Fit,,Bühnenkunst
Fine Art,FINE_ART,1,Kein Fit,,Kunst
Arts and Crafts,ARTS_AND_CRAFTS,2,Schwacher Fit,,Kunsthandwerk
Photography,PHOTOGRAPHY,2,Schwacher Fit,,Fotografie
Design,DESIGN,3,Schwacher Fit,,Design
Graphic Design,GRAPHIC_DESIGN,2,Schwacher Fit,,Grafikdesign
Writing and Editing,WRITING_AND_EDITING,2,Schwacher Fit,,Redaktion
Translation and Localization,TRANSLATION_AND_LOCALIZATION,2,Schwacher Fit,,Übersetzung
Banking,BANKING,3,Schwacher Fit,,Banken - reguliert
Capital Markets,CAPITAL_MARKETS,2,Schwacher Fit,,Kapitalmärkte
Investment Banking,INVESTMENT_BANKING,2,Schwacher Fit,,Investment Banking
Investment Management,INVESTMENT_MANAGEMENT,2,Schwacher Fit,,Vermögensverwaltung
Venture Capital & Private Equity,VENTURE_CAPITAL_PRIVATE_EQUITY,3,Schwacher Fit,,VC/PE - Portfoliounternehmen
Insurance,INSURANCE,3,Schwacher Fit,,Versicherungen
Leasing,Leasing,5,Moderater Fit,,Leasing - B2B relevant
Accounting,ACCOUNTING,2,Schwacher Fit,,Buchhaltung
Management Consulting,MANAGEMENT_CONSULTING,3,Schwacher Fit,,Unternehmensberatung
Market Research,MARKET_RESEARCH,2,Schwacher Fit,,Marktforschung
Marketing and Advertising,MARKETING_AND_ADVERTISING,3,Schwacher Fit,,Marketing/Werbung
Public Relations and Communications,PUBLIC_RELATIONS_AND_COMMUNICATIONS,2,Schwacher Fit,,PR
Human Resources,HUMAN_RESOURCES,3,Schwacher Fit,,HR-Dienstleister
Staffing and Recruiting,STAFFING_AND_RECRUITING,3,Schwacher Fit,,Personalvermittlung
Professional Training & Coaching,PROFESSIONAL_TRAINING_COACHING,3,Schwacher Fit,,Weiterbildung
Outsourcing/Offshoring,OUTSOURCING_OFFSHORING,3,Schwacher Fit,,Outsourcing
Facilities Services,FACILITIES_SERVICES,4,Moderater Fit,,Facility Management
Security and Investigations,SECURITY_AND_INVESTIGATIONS,3,Schwacher Fit,,Sicherheitsdienste
Consumer Goods,CONSUMER_GOODS,5,Moderater Fit,,Konsumgüter - teils Produktion
Consumer Services,CONSUMER_SERVICES,2,Schwacher Fit,,Verbraucherservices - B2C
Import and Export,IMPORT_AND_EXPORT,6,Guter Fit,,Import/Export - Handel
Law Practice,LAW_PRACTICE,2,Schwacher Fit,,Kanzleien
Legal Services,LEGAL_SERVICES,2,Schwacher Fit,,Rechtsdienstleistungen
Alternative Dispute Resolution,ALTERNATIVE_DISPUTE_RESOLUTION,1,Kein Fit,,Schlichtung
Education Management,EDUCATION_MANAGEMENT,2,Schwacher Fit,,Bildungsverwaltung
E-Learning,E_LEARNING,2,Schwacher Fit,,E-Learning
Higher Education,HIGHER_EDUCATION,2,Schwacher Fit,,Hochschulen
Primary/Secondary Education,PRIMARY_SECONDARY_EDUCATION,1,Kein Fit,,Schulen
Libraries,LIBRARIES,1,Kein Fit,,Bibliotheken
Research,RESEARCH,3,Schwacher Fit,,Forschung
Think Tanks,THINK_TANKS,1,Kein Fit,,Think Tanks
Program Development,PROGRAM_DEVELOPMENT,3,Schwacher Fit,,Programmentwicklung
Government Administration,GOVERNMENT_ADMINISTRATION,0,Ausgeschlossen,,Öffentliche Verwaltung
Government Relations,GOVERNMENT_RELATIONS,0,Ausgeschlossen,,Regierungsbeziehungen
Legislative Office,LEGISLATIVE_OFFICE,0,Ausgeschlossen,,Gesetzgebung
Executive Office,EXECUTIVE_OFFICE,0,Ausgeschlossen,,Exekutive
Judiciary,JUDICIARY,0,Ausgeschlossen,,Justiz
Law Enforcement,LAW_ENFORCEMENT,0,Ausgeschlossen,,Polizei
Public Safety,PUBLIC_SAFETY,0,Ausgeschlossen,,Öffentliche Sicherheit
Public Policy,PUBLIC_POLICY,0,Ausgeschlossen,,Politik
Military,MILITARY,0,Ausgeschlossen,,Militär
Political Organization,POLITICAL_ORGANIZATION,0,Ausgeschlossen,,Politische Organisationen
International Affairs,INTERNATIONAL_AFFAIRS,0,Ausgeschlossen,,Internationale Beziehungen
International Trade and Development,INTERNATIONAL_TRADE_AND_DEVELOPMENT,2,Schwacher Fit,,Entwicklungshilfe
Non-Profit Organization Management,NON_PROFIT_ORGANIZATION_MANAGEMENT,0,Ausgeschlossen,,Non-Profit
Philanthropy,PHILANTHROPY,0,Ausgeschlossen,,Philanthropie
Fund-Raising,FUND_RAISING,0,Ausgeschlossen,,Fundraising
Civic & Social Organization,CIVIC_SOCIAL_ORGANIZATION,0,Ausgeschlossen,,Zivilgesellschaft
Religious Institutions,RELIGIOUS_INSTITUTIONS,0,Ausgeschlossen,,Religiöse Einrichtungen
Individual & Family Services,INDIVIDUAL_FAMILY_SERVICES,1,Kein Fit,,Soziale Dienste
Museums and Institutions,MUSEUMS_AND_INSTITUTIONS,1,Kein Fit,,Museen
Tobacco,TOBACCO,2,Schwacher Fit,,Tabak
Technische Prüforganisation,Technische Prüforganisation,6,Guter Fit,,TÜV etc. - B2B
Fachhandel für Arbeitskleidung,Fachhandel für Arbeitskleidung,7,Guter Fit,BERNER,B2B-Fachhandel mit Bezug
Kaltakquise,Kaltakquise,2,Schwacher Fit,,Vertriebsdienstleister
Utilities,UTILITIES,6,Guter Fit,,Versorger - Infrastruktur
